date,plot,location,treatment,replicate,irrigated,fertilizer_rate_kg_ha,crop,yield_kg_ha,year,crop_group,scheduled_n_rate_kg_ha,rate_recovered,n_rate_kg_ha,heat_days_30c_gs,dry_days_lt1mm_gs,n100,irrigated_binary,time_c,heat_days_30c_gs_z,dry_days_lt1mm_gs_z,heat_dry_stress_z,status
2001-11-09,209,B,6,2,f,168.0,Zea mays L.,4152.0,2001,corn,168,False,168.0,24,144,1.68,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,301,B,9,3,f,291.0,Zea mays L.,2681.0,2001,corn,291,False,291.0,24,144,2.91,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,302,B,3,3,f,67.0,Zea mays L.,4171.0,2001,corn,67,False,67.0,24,144,0.67,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,303,B,8,3,f,246.0,Zea mays L.,5364.0,2001,corn,246,False,246.0,24,144,2.46,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,304,B,2,3,f,34.0,Zea mays L.,5230.0,2001,corn,34,False,34.0,24,144,0.34,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,305,B,4,3,f,101.0,Zea mays L.,4542.0,2001,corn,101,False,101.0,24,144,1.01,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,306,B,5,3,f,134.0,Zea mays L.,4529.0,2001,corn,134,False,134.0,24,144,1.34,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,307,B,7,3,f,202.0,Zea mays L.,4700.0,2001,corn,202,False,202.0,24,144,2.02,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,308,B,6,3,f,168.0,Zea mays L.,5622.0,2001,corn,168,False,168.0,24,144,1.68,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,309,B,1,3,f,0.0,Zea mays L.,5527.0,2001,corn,0,False,0.0,24,144,0.0,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,401,B,5,4,f,134.0,Zea mays L.,3436.0,2001,corn,134,False,134.0,24,144,1.34,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,402,B,6,4,f,168.0,Zea mays L.,4756.0,2001,corn,168,False,168.0,24,144,1.68,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,403,B,4,4,f,101.0,Zea mays L.,5795.0,2001,corn,101,False,101.0,24,144,1.01,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,404,B,1,4,f,0.0,Zea mays L.,5335.0,2001,corn,0,False,0.0,24,144,0.0,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,405,B,8,4,f,246.0,Zea mays L.,5300.0,2001,corn,246,False,246.0,24,144,2.46,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,406,B,2,4,f,34.0,Zea mays L.,3599.0,2001,corn,34,False,34.0,24,144,0.34,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,407,B,3,4,f,67.0,Zea mays L.,3996.0,2001,corn,67,False,67.0,24,144,0.67,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,408,B,7,4,f,202.0,Zea mays L.,4352.0,2001,corn,202,False,202.0,24,144,2.02,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2001-11-09,409,B,9,4,f,291.0,Zea mays L.,5073.0,2001,corn,291,False,291.0,24,144,2.91,0,-1.1782847718526681,-0.4309062949296876,-0.5631018463201026,-0.7028698972323623,reported
2002-10-17,101,B,1,1,f,0.0,Zea mays L.,3694.0,2002,corn,0,False,0.0,35,164,0.0,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,102,B,2,1,f,34.0,Zea mays L.,4536.0,2002,corn,34,False,34.0,35,164,0.34,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,103,B,3,1,f,67.0,Zea mays L.,5217.0,2002,corn,67,False,67.0,35,164,0.67,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,104,B,4,1,f,101.0,Zea mays L.,5802.0,2002,corn,101,False,101.0,35,164,1.01,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,105,B,5,1,f,134.0,Zea mays L.,6131.0,2002,corn,134,False,134.0,35,164,1.34,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,106,B,6,1,f,168.0,Zea mays L.,6047.0,2002,corn,168,False,168.0,35,164,1.68,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,107,B,7,1,f,202.0,Zea mays L.,5952.0,2002,corn,202,False,202.0,35,164,2.02,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,108,B,8,1,f,246.0,Zea mays L.,6118.0,2002,corn,246,False,246.0,35,164,2.46,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,109,B,9,1,f,291.0,Zea mays L.,5769.0,2002,corn,291,False,291.0,35,164,2.91,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,201,B,7,2,f,202.0,Zea mays L.,3783.0,2002,corn,202,False,202.0,35,164,2.02,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,202,B,2,2,f,34.0,Zea mays L.,3036.0,2002,corn,34,False,34.0,35,164,0.34,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,203,B,1,2,f,0.0,Zea mays L.,2817.0,2002,corn,0,False,0.0,35,164,0.0,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,204,B,5,2,f,134.0,Zea mays L.,5179.0,2002,corn,134,False,134.0,35,164,1.34,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,205,B,3,2,f,67.0,Zea mays L.,5404.0,2002,corn,67,False,67.0,35,164,0.67,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,206,B,9,2,f,291.0,Zea mays L.,4960.0,2002,corn,291,False,291.0,35,164,2.91,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,207,B,8,2,f,246.0,Zea mays L.,5622.0,2002,corn,246,False,246.0,35,164,2.46,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,208,B,4,2,f,101.0,Zea mays L.,6167.0,2002,corn,101,False,101.0,35,164,1.01,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,209,B,6,2,f,168.0,Zea mays L.,5350.0,2002,corn,168,False,168.0,35,164,1.68,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,301,B,9,3,f,291.0,Zea mays L.,3921.0,2002,corn,291,False,291.0,35,164,2.91,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,302,B,3,3,f,67.0,Zea mays L.,4992.0,2002,corn,67,False,67.0,35,164,0.67,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,303,B,8,3,f,246.0,Zea mays L.,6764.0,2002,corn,246,False,246.0,35,164,2.46,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,304,B,2,3,f,34.0,Zea mays L.,6120.0,2002,corn,34,False,34.0,35,164,0.34,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,305,B,4,3,f,101.0,Zea mays L.,5181.0,2002,corn,101,False,101.0,35,164,1.01,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,306,B,5,3,f,134.0,Zea mays L.,5076.0,2002,corn,134,False,134.0,35,164,1.34,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,307,B,7,3,f,202.0,Zea mays L.,4965.0,2002,corn,202,False,202.0,35,164,2.02,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,308,B,6,3,f,168.0,Zea mays L.,5109.0,2002,corn,168,False,168.0,35,164,1.68,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,309,B,1,3,f,0.0,Zea mays L.,3613.0,2002,corn,0,False,0.0,35,164,0.0,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,401,B,5,4,f,134.0,Zea mays L.,2893.0,2002,corn,134,False,134.0,35,164,1.34,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,402,B,6,4,f,168.0,Zea mays L.,4478.0,2002,corn,168,False,168.0,35,164,1.68,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,403,B,4,4,f,101.0,Zea mays L.,7016.0,2002,corn,101,False,101.0,35,164,1.01,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,404,B,1,4,f,0.0,Zea mays L.,6642.0,2002,corn,0,False,0.0,35,164,0.0,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,405,B,8,4,f,246.0,Zea mays L.,5542.0,2002,corn,246,False,246.0,35,164,2.46,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
2002-10-17,406,B,2,4,f,34.0,Zea mays L.,4258.0,2002,corn,34,False,34.0,35,164,0.34,0,-1.0782847718526682,0.4144711004275159,1.2862838329364952,1.2026153465181668,reported
