draw,wild_t,wild_effect,observed_t,wild_two_sided_p
192,0.4804944808763893,42.75677207995495,-3.6057776634675798,0.03
193,0.9166016136743854,86.37854832624114,-3.6057776634675798,0.03
194,-0.619764354167421,-39.720690952255424,-3.6057776634675798,0.03
195,-1.6218928855503407,-181.35460149998272,-3.6057776634675798,0.03
196,-0.006293388170688835,-0.7060351275662101,-3.6057776634675798,0.03
197,-0.4536495621490261,-55.824340511487804,-3.6057776634675798,0.03
198,2.9342114640541235,207.9809414708534,-3.6057776634675798,0.03
199,1.5377104430262258,107.07418216211946,-3.6057776634675798,0.03
200,0.9541615256305325,96.92346227857132,-3.6057776634675798,0.03
201,-0.048438430505075625,-5.777308951204439,-3.6057776634675798,0.03
202,0.4559928969518615,69.68122911621327,-3.6057776634675798,0.03
203,-0.40155095240895927,-35.20749764262119,-3.6057776634675798,0.03
204,1.1189803763425894,158.39478917939562,-3.6057776634675798,0.03
205,-2.156415539542978,-190.56918217506072,-3.6057776634675798,0.03
206,2.550236559681007,208.53628328654344,-3.6057776634675798,0.03
207,1.6154995651317836,147.67801128483856,-3.6057776634675798,0.03
208,2.505759962168487,244.9912439563133,-3.6057776634675798,0.03
209,-1.0844333128807444,-102.98882868660971,-3.6057776634675798,0.03
210,-0.8662662215878152,-106.927828733072,-3.6057776634675798,0.03
211,-1.4711226359568872,-116.19370511999966,-3.6057776634675798,0.03
212,0.7093033251383212,67.39791621558548,-3.6057776634675798,0.03
213,-0.41201285290116607,-67.94925542632437,-3.6057776634675798,0.03
214,-1.2935343250650706,-160.5461712990663,-3.6057776634675798,0.03
215,-1.7691639164986288,-189.1924036776022,-3.6057776634675798,0.03
216,-0.9454301351143723,-135.84928904763734,-3.6057776634675798,0.03
217,-0.6180053932382289,-72.16824684883375,-3.6057776634675798,0.03
218,1.9544391082804755,187.99995202248263,-3.6057776634675798,0.03
219,-2.3295407902781458,-253.3870689617234,-3.6057776634675798,0.03
220,-1.2115727708626396,-174.237820404677,-3.6057776634675798,0.03
221,0.5343076752354174,78.98252074145589,-3.6057776634675798,0.03
222,-0.37250369341144385,-53.06350592933447,-3.6057776634675798,0.03
223,3.3943764599622344,278.3088625331058,-3.6057776634675798,0.03
224,-0.8425219236131637,-121.00482359393094,-3.6057776634675798,0.03
225,0.04644984631270213,9.063006534260609,-3.6057776634675798,0.03
226,-1.8398014469041792,-189.464430426438,-3.6057776634675798,0.03
227,1.9146444907513525,225.19441826028816,-3.6057776634675798,0.03
228,-1.6446198184364,-125.16188640164195,-3.6057776634675798,0.03
229,-1.902209336341007,-139.30684145313927,-3.6057776634675798,0.03
230,-3.087593148853751,-193.94094736053287,-3.6057776634675798,0.03
231,-0.4943905711063949,-44.05392138778825,-3.6057776634675798,0.03
232,-0.9367202668774052,-91.9532845515177,-3.6057776634675798,0.03
233,-2.165951176619267,-233.02858549274842,-3.6057776634675798,0.03
234,1.3170368462106543,114.09829949384894,-3.6057776634675798,0.03
235,1.4993906907964656,156.05977557414909,-3.6057776634675798,0.03
236,1.2448306050867868,161.5326763290543,-3.6057776634675798,0.03
237,2.451579715794966,216.75794650623763,-3.6057776634675798,0.03
238,-1.7559787727786398,-154.3187503113937,-3.6057776634675798,0.03
239,-2.5530429046090823,-213.88582912354426,-3.6057776634675798,0.03
240,-1.7802846284231713,-152.85168918288485,-3.6057776634675798,0.03
241,-0.13089071540769898,-14.113774321861495,-3.6057776634675798,0.03
242,1.535450491886092,182.38992731841645,-3.6057776634675798,0.03
243,2.119540956559005,171.8492039954909,-3.6057776634675798,0.03
244,1.6419690067426003,124.95075092199868,-3.6057776634675798,0.03
245,0.27591035499984823,33.5845474549431,-3.6057776634675798,0.03
246,1.5420227874254044,128.91670141572808,-3.6057776634675798,0.03
247,1.1415731814452097,96.85847377024416,-3.6057776634675798,0.03
248,1.117848813584798,159.95787312225366,-3.6057776634675798,0.03
249,-1.1447568702993476,-104.43990444444336,-3.6057776634675798,0.03
250,-1.5517954923232546,-201.9901187184063,-3.6057776634675798,0.03
251,-0.8667858500192211,-109.61373356341547,-3.6057776634675798,0.03
252,-0.6342165751387254,-62.84064064344203,-3.6057776634675798,0.03
253,0.6902786917327958,61.19962471325258,-3.6057776634675798,0.03
254,-1.8713890734266256,-205.2561523298703,-3.6057776634675798,0.03
255,-0.0025799250017436446,-0.4476663163233142,-3.6057776634675798,0.03
256,0.8496633184351737,103.5079804766859,-3.6057776634675798,0.03
257,0.8607560880583395,126.25093776949285,-3.6057776634675798,0.03
258,1.7233346166423578,134.91264518121733,-3.6057776634675798,0.03
259,-1.7420539136370197,-148.41141260692044,-3.6057776634675798,0.03
260,-1.7589387104468173,-205.63591813905535,-3.6057776634675798,0.03
261,1.3036227753190557,142.57605171032264,-3.6057776634675798,0.03
262,-1.3241081911837873,-133.12036508088528,-3.6057776634675798,0.03
263,1.1755545969001355,105.5899603597898,-3.6057776634675798,0.03
264,-0.6137762067256558,-79.7764834788752,-3.6057776634675798,0.03
265,0.8036741783307938,94.19006303259702,-3.6057776634675798,0.03
266,1.2533770480764619,110.84982334601037,-3.6057776634675798,0.03
267,0.1143556440028674,9.89071889776626,-3.6057776634675798,0.03
268,-2.401410822429175,-227.7377484272695,-3.6057776634675798,0.03
269,0.66069828325448,102.01543809031745,-3.6057776634675798,0.03
270,-0.08135437974548276,-14.297138385834252,-3.6057776634675798,0.03
271,1.0338498105679705,91.60609630746919,-3.6057776634675798,0.03
272,1.2494772437905077,109.17963436561314,-3.6057776634675798,0.03
273,0.7122527992777552,109.54940050872364,-3.6057776634675798,0.03
274,0.06720801619381833,6.59986461795301,-3.6057776634675798,0.03
275,-2.099302036023244,-208.19252572133288,-3.6057776634675798,0.03
276,-0.9112471999274917,-82.22614544003622,-3.6057776634675798,0.03
277,-1.0638193208925093,-97.44896462517929,-3.6057776634675798,0.03
278,-0.8816098399938223,-94.85041232029575,-3.6057776634675798,0.03
279,0.579624354149183,81.86314908184389,-3.6057776634675798,0.03
280,-0.4745823068789731,-45.185091448526485,-3.6057776634675798,0.03
281,-0.5609716758568426,-36.89702556299897,-3.6057776634675798,0.03
282,-1.4201704629480354,-161.818916729901,-3.6057776634675798,0.03
283,1.1185918410201847,167.65388947909122,-3.6057776634675798,0.03
284,-2.700278863571027,-213.43412154966327,-3.6057776634675798,0.03
285,2.035985041634038,165.5175558340171,-3.6057776634675798,0.03
286,0.7081622720189366,66.23989529590116,-3.6057776634675798,0.03
287,2.8716518610946316,228.02477093950785,-3.6057776634675798,0.03
288,1.0700042400689675,115.03847578955958,-3.6057776634675798,0.03
289,-1.4634915962573753,-129.05831507907868,-3.6057776634675798,0.03
290,-1.7662187338753557,-229.64614427816588,-3.6057776634675798,0.03
291,-0.07517792999157541,-7.639977741134736,-3.6057776634675798,0.03
292,-1.394539274294472,-146.65896600459,-3.6057776634675798,0.03
293,-2.8892380767630583,-267.1991293599442,-3.6057776634675798,0.03
294,1.3921384728883943,178.1198760918552,-3.6057776634675798,0.03
295,1.842629911103305,175.31869850623346,-3.6057776634675798,0.03
296,1.0182745963107218,126.23505928111058,-3.6057776634675798,0.03
297,0.2423280898129833,26.23717588374268,-3.6057776634675798,0.03
298,1.8162955451782379,185.10366522482119,-3.6057776634675798,0.03
299,1.468373463652983,121.40405915854816,-3.6057776634675798,0.03
300,-1.9328191530348415,-241.8446892007417,-3.6057776634675798,0.03
301,0.2510708002914758,25.145554924689236,-3.6057776634675798,0.03
302,2.5233298346603483,187.86794852253016,-3.6057776634675798,0.03
303,-1.6200831282571728,-177.17693286294576,-3.6057776634675798,0.03
304,-2.67836072264915,-233.98049344026316,-3.6057776634675798,0.03
305,3.973737923435828,266.672503530023,-3.6057776634675798,0.03
306,0.8616860586439435,148.47450164893104,-3.6057776634675798,0.03
307,2.0352005855281394,150.31831214989447,-3.6057776634675798,0.03
308,-1.4066217848766946,-182.6093305458214,-3.6057776634675798,0.03
309,-1.142415331114374,-132.78781914344026,-3.6057776634675798,0.03
310,-3.1013606950629784,-241.78153614400492,-3.6057776634675798,0.03
311,-1.7543546873161289,-206.73186255899805,-3.6057776634675798,0.03
312,-1.3201844240389164,-125.98233411878475,-3.6057776634675798,0.03
313,1.3383564258166578,152.31295387462737,-3.6057776634675798,0.03
314,2.7164989964623523,226.6193561198037,-3.6057776634675798,0.03
315,-1.1893812077524326,-104.53981203870043,-3.6057776634675798,0.03
316,0.769756330151574,91.38457728484477,-3.6057776634675798,0.03
317,0.9571229793240402,87.39998234264094,-3.6057776634675798,0.03
318,1.1999343731045347,171.75573059840562,-3.6057776634675798,0.03
319,-1.9291960280770926,-208.71224497109523,-3.6057776634675798,0.03
320,-1.2189312278985192,-112.07518133657872,-3.6057776634675798,0.03
321,-1.5947768812254397,-179.80636038570276,-3.6057776634675798,0.03
322,1.0151306593087899,144.24206726957974,-3.6057776634675798,0.03
323,1.5329474573827675,133.0292267659994,-3.6057776634675798,0.03
324,-1.180600281401578,-173.9398821316561,-3.6057776634675798,0.03
325,1.5372553959298056,124.67116995278909,-3.6057776634675798,0.03
326,-0.8870988664953053,-107.26552066588906,-3.6057776634675798,0.03
327,0.15355699732653502,15.445497484874931,-3.6057776634675798,0.03
328,-3.9455382926413383,-253.08624057181908,-3.6057776634675798,0.03
329,0.21687168763222786,20.22882641731507,-3.6057776634675798,0.03
330,-1.7050166252434062,-230.31990549059006,-3.6057776634675798,0.03
331,0.5378823158373739,81.67515154586279,-3.6057776634675798,0.03
332,-3.153089553100322,-267.0301121457489,-3.6057776634675798,0.03
333,-2.266382620577888,-149.4700902615582,-3.6057776634675798,0.03
334,-0.8111954879545368,-50.64107671282468,-3.6057776634675798,0.03
335,1.083721399064248,98.32027240908437,-3.6057776634675798,0.03
336,-2.3850278291030995,-237.40883939622265,-3.6057776634675798,0.03
337,1.6955564615594714,145.68896892803753,-3.6057776634675798,0.03
338,1.7489879862625453,201.16097957852574,-3.6057776634675798,0.03
339,-0.38188684660299643,-36.301843438888746,-3.6057776634675798,0.03
340,-0.7424684718021003,-70.17575650275657,-3.6057776634675798,0.03
341,2.0445619475454975,226.3588533632391,-3.6057776634675798,0.03
342,-1.7846448710488552,-171.59967091259097,-3.6057776634675798,0.03
343,-3.623431587769517,-271.0464736196614,-3.6057776634675798,0.03
344,-3.324639451015421,-270.38034750297936,-3.6057776634675798,0.03
345,1.9514259237692297,239.14085903426871,-3.6057776634675798,0.03
346,1.4070760674071219,126.99259733009956,-3.6057776634675798,0.03
347,2.0255979101725377,194.33340653035066,-3.6057776634675798,0.03
